iter	Passed	Remaining
0	207	62038
1	356	53117
2	503	49855
3	645	47740
4	787	46451
5	930	45587
6	1072	44897
7	1222	44619
8	1367	44215
9	1509	43782
10	1650	43372
11	1793	43041
12	1936	42762
13	2076	42422
14	2213	42057
15	2357	41841
16	2501	41638
17	2649	41502
18	2790	41273
19	2935	41100
20	3080	40927
21	3223	40735
22	3360	40476
23	3502	40280
24	3653	40187
25	3795	40001
26	3943	39874
27	4131	40136
28	4275	39950
29	4420	39786
30	4558	39557
31	4705	39412
32	4846	39209
33	4986	39011
34	5130	38842
35	5277	38702
36	5422	38542
37	5563	38357
38	5707	38195
39	5852	38038
40	5996	37880
41	6137	37701
42	6278	37522
43	6420	37355
44	6567	37218
45	6704	37020
46	6851	36882
47	6998	36741
48	7148	36617
49	7290	36454
50	7434	36300
51	7580	36153
52	7719	35974
53	7860	35809
54	8000	35636
55	8143	35483
56	8283	35315
57	8427	35163
58	8575	35027
59	8716	34867
60	8857	34702
61	9002	34558
62	9146	34409
63	9290	34257
64	9435	34112
65	9577	33956
66	9721	33807
67	9867	33664
68	10012	33521
69	10158	33378
70	10298	33214
71	10438	33056
72	10583	32911
73	10730	32771
74	10877	32632
75	11023	32491
76	11165	32336
77	11309	32187
78	11453	32042
79	11598	31896
80	11738	31736
81	11879	31581
82	12023	31434
83	12165	31281
84	12312	31143
85	12460	31006
86	12604	30858
87	12744	30702
88	12887	30553
89	13033	30411
90	13182	30275
91	13321	30119
92	13462	29964
93	13634	29879
94	13782	29741
95	13931	29603
96	14112	29533
97	14255	29384
98	14401	29239
99	14542	29084
100	14692	28948
101	14832	28792
102	14973	28638
103	15115	28487
104	15258	28337
105	15404	28193
106	15548	28045
107	15691	27895
108	15833	27744
109	15977	27598
110	16120	27447
111	16267	27306
112	16412	27160
113	16557	27014
114	16703	26870
115	16847	26724
116	16990	26574
117	17138	26433
118	17282	26287
119	17423	26135
120	17565	25985
121	17708	25836
122	17852	25690
123	17996	25543
124	18137	25392
125	18280	25244
126	18423	25096
127	18559	24939
128	18705	24795
129	18847	24646
130	18980	24485
131	19122	24337
132	19265	24190
133	19404	24039
134	19545	23888
135	19685	23738
136	19828	23591
137	19974	23448
138	20114	23297
139	20257	23151
140	20401	23006
141	20542	22856
142	20688	22714
143	20829	22564
144	20968	22414
145	21113	22270
146	21253	22121
147	21397	21975
148	21538	21827
149	21680	21680
150	21815	21526
151	21960	21382
152	22106	21239
153	22247	21091
154	22382	20938
155	22528	20795
156	22676	20654
157	22816	20505
158	22949	20351
159	23093	20206
160	23238	20063
161	23377	19914
162	23513	19763
163	23667	19626
164	23803	19475
165	23956	19338
166	24129	19216
167	24270	19069
168	24409	18920
169	24542	18768
170	24684	18621
171	24825	18474
172	24963	18325
173	25099	18175
174	25239	18028
175	25380	17881
176	25526	17738
177	25673	17596
178	25812	17448
179	25960	17306
180	26103	17161
181	26246	17017
182	26393	16874
183	26537	16730
184	26676	16582
185	26816	16435
186	26956	16289
187	27093	16141
188	27237	15996
189	27380	15851
190	27522	15706
191	27663	15560
192	27803	15414
193	27939	15266
194	28079	15119
195	28219	14973
196	28359	14827
197	28500	14682
198	28640	14536
199	28779	14389
200	28911	14240
201	29052	14095
202	29194	13949
203	29337	13805
204	29474	13659
205	29616	13514
206	29757	13369
207	29898	13224
208	30036	13078
209	30174	12931
210	30319	12788
211	30461	12644
212	30602	12499
213	30736	12351
214	30878	12207
215	31018	12062
216	31152	11915
217	31293	11771
218	31434	11626
219	31571	11480
220	31706	11333
221	31847	11189
222	31990	11046
223	32134	10902
224	32273	10757
225	32412	10612
226	32554	10469
227	32691	10323
228	32828	10178
229	32963	10032
230	33104	9888
231	33249	9745
232	33389	9601
233	33520	9454
234	33665	9311
235	33806	9167
236	33953	9025
237	34120	8888
238	34265	8745
239	34407	8601
240	34544	8456
241	34686	8313
242	34828	8169
243	34964	8024
244	35101	7879
245	35241	7735
246	35380	7591
247	35519	7447
248	35653	7302
249	35798	7159
250	35933	7014
251	36076	6871
252	36212	6727
253	36358	6584
254	36497	6440
255	36633	6296
256	36766	6151
257	36900	6007
258	37042	5863
259	37184	5720
260	37317	5576
261	37458	5432
262	37600	5289
263	37733	5145
264	37865	5001
265	38000	4857
266	38138	4713
267	38277	4570
268	38414	4426
269	38552	4283
270	38693	4140
271	38827	3996
272	38968	3854
273	39105	3710
274	39253	3568
275	39393	3425
276	39527	3282
277	39675	3139
278	39813	2996
279	39950	2853
280	40088	2710
281	40225	2567
282	40365	2424
283	40506	2282
284	40643	2139
285	40778	1996
286	40909	1853
287	41046	1710
288	41185	1567
289	41331	1425
290	41462	1282
291	41598	1139
292	41738	997
293	41872	854
294	42009	712
295	42143	569
296	42295	427
297	42443	284
298	42580	142
299	42725	0
