iter	Passed	Remaining
0	193	57865
1	327	48766
2	455	45132
3	582	43088
4	712	42040
5	846	41500
6	982	41135
7	1120	40903
8	1255	40599
9	1387	40237
10	1514	39778
11	1644	39465
12	1776	39213
13	1918	39185
14	2044	38851
15	2173	38579
16	2308	38433
17	2441	38254
18	2571	38026
19	2704	37862
20	2832	37631
21	2957	37366
22	3087	37179
23	3215	36976
24	3344	36792
25	3477	36643
26	3606	36469
27	3731	36249
28	3858	36054
29	3991	35926
30	4125	35795
31	4253	35626
32	4388	35506
33	4520	35368
34	4654	35241
35	4785	35092
36	4915	34941
37	5053	34841
38	5188	34723
39	5324	34606
40	5466	34535
41	5602	34414
42	5732	34258
43	5860	34099
44	5996	33978
45	6128	33838
46	6258	33688
47	6392	33562
48	6528	33440
49	6661	33305
50	6802	33209
51	6935	33075
52	7091	33050
53	7233	32953
54	7361	32793
55	7486	32618
56	7618	32476
57	7743	32309
58	7875	32168
59	8007	32029
60	8138	31886
61	8267	31737
62	8400	31600
63	8529	31452
64	8668	31338
65	8799	31197
66	8930	31057
67	9062	30918
68	9201	30806
69	9335	30673
70	9464	30526
71	9593	30377
72	9727	30248
73	9870	30144
74	10015	30047
75	10150	29918
76	10273	29753
77	10399	29598
78	10529	29455
79	10652	29294
80	10777	29139
81	10904	28989
82	11037	28856
83	11162	28704
84	11289	28554
85	11421	28420
86	11555	28290
87	11683	28147
88	11811	28002
89	11936	27851
90	12063	27706
91	12193	27566
92	12323	27429
93	12452	27289
94	12583	27152
95	12709	27007
96	12838	26869
97	12964	26722
98	13095	26587
99	13223	26446
100	13345	26294
101	13473	26154
102	13600	26012
103	13725	25867
104	13850	25722
105	13978	25582
106	14114	25458
107	14244	25323
108	14374	25188
109	14506	25057
110	14637	24923
111	14762	24780
112	14888	24638
113	15019	24506
114	15166	24398
115	15297	24264
116	15440	24150
117	15579	24030
118	15708	23892
119	15829	23743
120	15954	23601
121	16082	23463
122	16215	23334
123	16340	23192
124	16470	23058
125	16600	22924
126	16734	22796
127	16864	22662
128	16993	22526
129	17160	22440
130	17285	22300
131	17408	22156
132	17539	22023
133	17664	21882
134	17788	21741
135	17916	21605
136	18043	21468
137	18180	21341
138	18310	21208
139	18441	21075
140	18568	20939
141	18700	20807
142	18830	20673
143	18961	20541
144	19092	20409
145	19219	20272
146	19341	20130
147	19467	19993
148	19596	19859
149	19722	19722
150	19852	19589
151	19979	19453
152	20105	19317
153	20233	19182
154	20365	19051
155	20497	18920
156	20622	18783
157	20751	18650
158	20880	18516
159	21006	18380
160	21141	18252
161	21270	18119
162	21390	17978
163	21517	17844
164	21640	17706
165	21767	17571
166	21887	17431
167	22015	17297
168	22138	17160
169	22262	17024
170	22395	16894
171	22521	16760
172	22648	16626
173	22770	16489
174	22897	16355
175	23025	16222
176	23155	16091
177	23284	15959
178	23407	15822
179	23537	15691
180	23664	15558
181	23790	15424
182	23914	15289
183	24041	15156
184	24172	15026
185	24302	14895
186	24437	14766
187	24570	14637
188	24697	14504
189	24830	14375
190	24956	14242
191	25088	14112
192	25214	13978
193	25339	13845
194	25468	13713
195	25599	13583
196	25725	13450
197	25858	13321
198	25979	13185
199	26102	13051
200	26237	12922
201	26359	12788
202	26483	12654
203	26609	12522
204	26736	12389
205	26860	12256
206	26989	12125
207	27153	12010
208	27278	11877
209	27395	11740
210	27521	11608
211	27651	11478
212	27778	11346
213	27908	11215
214	28031	11082
215	28154	10949
216	28285	10818
217	28405	10684
218	28532	10553
219	28655	10420
220	28779	10287
221	28904	10155
222	29027	10023
223	29148	9889
224	29283	9761
225	29403	9627
226	29524	9494
227	29655	9364
228	29783	9234
229	29914	9104
230	30033	8970
231	30155	8838
232	30281	8707
233	30407	8576
234	30534	8445
235	30658	8314
236	30790	8184
237	30918	8054
238	31038	7922
239	31161	7790
240	31293	7661
241	31423	7531
242	31551	7400
243	31685	7272
244	31819	7143
245	31944	7012
246	32068	6881
247	32192	6750
248	32329	6621
249	32460	6492
250	32593	6362
251	32718	6232
252	32854	6103
253	32978	5972
254	33105	5842
255	33230	5711
256	33368	5583
257	33496	5452
258	33618	5321
259	33740	5190
260	33874	5061
261	33995	4930
262	34119	4800
263	34252	4670
264	34379	4540
265	34503	4410
266	34636	4280
267	34765	4151
268	34896	4021
269	35028	3892
270	35155	3762
271	35289	3632
272	35417	3502
273	35544	3372
274	35671	3242
275	35804	3113
276	35925	2983
277	36057	2853
278	36184	2723
279	36317	2594
280	36449	2464
281	36568	2334
282	36721	2205
283	36854	2076
284	36993	1947
285	37160	1819
286	37294	1689
287	37423	1559
288	37548	1429
289	37678	1299
290	37815	1169
291	37943	1039
292	38068	909
293	38191	779
294	38316	649
295	38445	519
296	38572	389
297	38706	259
298	38834	129
299	38962	0
